Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,76,1,Mar 28,DET,@,CHW,W1-0,GS-6,W(1-0),99,6.0,3,0,0,0,6,0,0,0.00,1.17,21,83,59,10,17,6,9,4,2,0,72,,,0,0,0,21,0,0,0,0,0,0,.99,0.381,.98,0.23%,2.88,27.70,46.00,1b start tie,6b 3 out a1
2,77,7,Apr 5,DET,,OAK,W5-4,GS-7,,7,6.1,4,4,4,2,9,2,0,2.92,3.33,25,92,62,17,15,7,7,2,0,0,56,,,0,0,0,23,1,0,0,0,0,0,.86,0.003,.93,0.00%,-0.09,20.65,34.00,1t start tie,7t 1-- 1 out a1
3,78,12,Apr 12,DET,,MIN,W8-2,GS-5,W(2-0),6,5.0,2,0,0,2,5,0,0,2.08,3.05,19,93,60,20,6,7,5,1,2,0,66,,,0,0,0,17,0,0,0,0,0,0,.90,0.277,1.00,0.19%,2.44,22.85,36.00,1t start tie,5t 3 out a2
4,79,18,Apr 17,DET,,TEX,L4-5,GS-7,,4,6.1,5,4,2,1,6,0,1,2.28,2.83,27,86,68,14,11,9,10,4,0,0,56,,,0,0,0,24,1,0,0,1,1,2,1.18,-0.180,1.23,-0.11%,-1.09,18.05,35.00,1t start tie,7t 1-- 1 out d2
5,80,23,Apr 22,DET,@,TBR,W7-1,GS-6,W(3-0),4,6.0,3,0,0,0,9,0,0,1.82,2.29,20,86,58,16,13,4,7,4,1,0,75,,,0,1,0,20,0,0,0,0,0,0,.74,0.230,.77,0.14%,2.88,33.70,55.00,1b start a 1,6b 3 out a6
6,81,28,Apr 28,DET,,KCR,W4-1,GS-7,W(4-0),5,7.0,4,1,1,1,6,0,0,1.72,2.21,26,91,64,16,15,6,13,5,3,0,70,,,0,0,0,25,1,0,0,0,0,0,.83,0.271,.96,0.19%,2.42,26.75,46.00,1t start tie,7t 3 out a3
7,82,34,May 5,DET,@,NYY,L2-5,GS-6,,6,6.0,6,2,2,0,12,1,0,1.90,2.09,24,96,70,24,17,4,8,4,1,0,64,,,0,0,0,24,2,0,0,0,0,0,.70,0.011,.75,0.01%,0.97,29.90,52.00,1b start tie,6b 3 out d2
8,83,39,May 11,DET,,HOU,W8-2,GS-7,W(5-0),5,6.1,7,2,2,2,7,0,0,2.02,2.06,28,97,69,18,14,10,9,2,2,0,56,,,0,0,0,26,2,0,0,0,0,0,.44,0.103,.36,0.05%,0.52,22.85,44.00,1t start tie,7t 12- 1 out a6
9,84,44,May 17,DET,@,ARI,W13-0,GS-6,W(6-0),5,6.0,1,0,0,0,6,0,0,1.80,1.97,19,74,53,14,11,7,6,1,1,0,76,,,0,0,0,19,1,0,0,0,0,0,.36,0.174,.28,0.08%,3.07,28.90,46.00,1b start tie,6b 3 out a13
10,85,49,May 22,DET,@,KCR,L3-8,GS-5,L(6-1),4,5.0,6,4,4,2,6,1,0,2.25,2.18,22,96,62,11,11,6,8,4,0,0,43,,,0,1,0,20,2,0,0,1,0,1,.62,-0.165,.48,-0.08%,-1.48,10.45,21.00,1b start tie,5b 3 out d4
11,86,54,May 29,DET,,PIT,W8-0,GS-7,W(7-1),6,7.0,3,0,0,1,8,0,0,2.01,2.09,25,93,66,21,15,8,8,3,0,0,78,,,0,0,0,24,0,0,0,0,0,0,.63,0.233,.42,0.09%,3.42,33.35,55.00,1t start tie,7t 3 out a8
12,87,60,Jun 3,DET,@,TEX,W2-1,GS-6,,4,6.0,7,1,1,2,6,1,0,1.97,2.28,26,96,65,17,10,9,9,2,1,0,58,,,0,0,0,24,0,1,0,1,0,0,1.23,0.233,.84,0.10%,1.88,18.10,37.00,1b start tie,6b 3 out tie
13,88,65,Jun 9,DET,,MIL,W10-2,GS-7,W(8-1),5,6.2,5,1,1,2,10,0,1,1.92,2.21,27,95,65,22,15,9,5,2,1,0,68,,,0,0,0,24,0,1,0,1,0,0,.80,0.263,.50,0.10%,2.07,32.20,57.00,1t start tie,7t --3 2 out a9
14,89,69,Jun 14,DET,@,HOU,L0-4,GS-7,L(8-2),4,6.1,6,4,4,1,2,1,1,2.20,2.46,27,84,57,7,10,12,11,5,2,0,46,,,1,0,0,24,2,1,0,0,1,0,.89,-0.098,.51,-0.03%,-1.15,5.45,13.00,1b start tie,7b 1-- 1 out d4
15,90,74,Jun 19,DET,@,ATL,L0-7,GS-4,L(8-3),4,4.0,7,5,4,2,7,2,2,2.50,2.75,23,83,55,9,19,2,10,5,2,0,35,,,1,0,0,19,1,0,0,0,0,0,1.00,-0.234,.44,-0.06%,-2.96,8.40,21.00,1b start tie,4b 3 out d5
16,91,79,Jun 25,DET,,PHI,W4-1,GS-7,W(9-3),5,7.0,3,0,0,1,7,0,1,2.32,2.70,26,91,64,22,18,10,7,4,0,0,77,,,1,0,0,24,1,0,0,1,0,1,.89,0.336,.30,0.07%,3.42,30.75,52.00,1t start tie,7t 3 out a4
17,92,85,Jul 2,DET,@,MIN,L3-5,GS-6,,6,6.0,4,3,3,1,7,1,0,2.45,2.75,23,94,67,13,12,5,10,4,1,0,58,,,0,0,0,22,1,0,0,0,0,0,.89,-0.056,.22,-0.01%,0.02,18.50,34.00,1b start tie,6b 3 out tie
18,93,90,Jul 7,DET,@,CIN,W5-1,GS-7,W(10-3),4,7.0,3,1,1,0,13,0,0,2.37,2.54,25,93,67,15,21,8,4,4,0,0,80,,,0,0,0,25,2,0,0,0,0,1,1.45,0.359,.37,0.06%,2.75,41.95,67.00,1b start tie,7b 3 out a1
19,94,95,Jul 12,DET,,LAD,L3-4,GS-6,,4,6.0,2,2,2,1,8,1,0,2.41,2.57,22,101,71,24,12,8,5,1,0,0,67,,,0,0,0,21,0,0,0,0,0,1,.82,0.156,.25,0.03%,0.93,23.70,40.00,1t start tie,6t 3 out a1
20,95,101,Jul 22,DET,@,CLE,W8-2,GS-7,W(11-3),9,7.0,10,1,1,1,6,0,0,2.34,2.53,31,97,73,19,14,12,12,7,3,0,58,,,0,0,0,30,2,0,0,1,0,0,1.03,0.215,.54,0.07%,2.42,23.15,46.00,1b start a 2,7b 3 out a5
21,96,106,Jul 27,DET,,MIN,W7-2,GS-7,W(12-3),4,7.0,5,2,2,2,8,1,0,2.35,2.59,28,96,69,17,9,8,10,4,0,0,65,,,0,0,0,26,0,0,0,0,0,0,.97,0.187,.42,0.05%,1.42,27.55,49.00,1t start tie,7t 3 out a1
22,97,111,Aug 2,DET,,KCR,L2-9,GS-7,L(12-4),5,6.1,7,5,5,2,8,1,0,2.57,2.64,28,95,63,14,9,6,12,5,2,0,45,,,0,0,0,24,1,0,0,0,1,0,1.05,-0.079,.16,-0.01%,-0.48,14.85,28.00,1t start tie,7t 12- 1 out d1
23,98,115,Aug 7,DET,@,SEA,W6-2,GS-7,W(13-4),4,7.0,3,2,2,2,9,1,0,2.57,2.67,26,102,70,18,19,2,13,4,1,0,70,,,0,0,0,24,1,0,0,0,0,0,1.11,0.255,.11,0.01%,1.12,30.75,52.00,1b start a 1,7b 3 out a1
24,99,120,Aug 13,DET,,SEA,W15-1,GS-6,W(14-4),5,6.0,3,1,1,1,9,0,2,2.53,2.63,23,88,56,21,11,5,6,2,1,0,70,,,0,0,0,20,1,0,0,1,0,0,.57,0.149,.04,0.01%,1.93,29.90,52.00,1t start tie,6t 3 out a10
25,100,125,Aug 18,DET,,NYY,W3-2,GS-6,,4,6.0,3,1,1,4,5,0,0,2.49,2.66,23,100,61,16,11,9,5,3,0,0,63,,,0,0,0,19,0,0,0,2,0,0,1.10,0.163,.10,0.01%,1.91,17.30,34.00,1t start tie,6t 3 out d1
26,101,130,Aug 24,DET,@,CHW,W13-4,GS-5,W(15-4),5,5.0,8,3,3,0,8,0,0,2.58,2.58,22,88,60,11,8,5,9,5,0,0,47,,,0,0,0,22,1,0,0,1,0,0,.99,-0.024,.09,0.00%,-0.60,20.45,36.00,1b start a 1,5b 3 out a6
27,102,137,Aug 31,DET,,BOS,W2-1,GS-8,W(16-4),6,8.0,4,1,1,0,8,1,0,2.51,2.59,27,98,72,19,14,10,9,3,3,0,78,,,0,0,0,27,0,0,0,1,0,1,1.05,0.468,.32,0.09%,2.91,33.60,55.00,1t start tie,8t 3 out a1
28,103,142,Sep 6,DET,@,OAK,L6-7,GS-6,,5,5.2,9,2,2,0,7,0,0,2.53,2.53,24,96,64,16,16,7,10,3,1,0,50,,,0,0,0,24,1,1,0,1,0,0,1.52,-0.068,.66,-0.02%,0.32,17.35,32.00,1b start tie,6b 1-3 2 out d1
29,104,147,Sep 12,DET,,COL,L2-4,GS-6,,5,6.0,4,1,1,0,6,1,0,2.50,2.55,22,84,60,10,15,6,10,4,1,0,66,,,0,0,0,22,0,0,0,0,0,0,.98,0.227,.76,0.11%,1.93,21.10,37.00,1t start tie,6t 3 out a1
30,105,153,Sep 18,DET,@,KCR,W4-2,GS-5,W(17-4),5,5.0,3,1,1,1,7,0,1,2.48,2.53,21,95,64,15,17,8,4,1,2,0,63,,,0,0,0,19,0,0,0,0,0,1,1.00,0.148,1.64,0.15%,1.52,24.25,39.00,1b start tie,5b 3 out a3
31,106,157,Sep 24,DET,,TBR,W2-1,GS-7,W(18-4),5,7.0,2,0,0,1,7,0,0,2.39,2.49,23,103,71,15,16,8,7,3,1,0,79,,,0,1,0,22,0,0,0,0,0,0,.83,0.411,1.73,0.51%,3.42,31.95,52.00,1t start tie,7t 3 out a2
32,107,160,Mar 27,DET,@,LAD,L4-5,GS-5,L(0-1),99,5.0,6,4,4,1,2,2,0,7.20,7.71,22,80,55,14,8,9,10,5,0,0,40,,,0,0,0,21,0,0,0,0,0,0,.92,-0.300,.82,-0.16%,-1.60,3.05,9.00,1b start tie,5b 3 out d2
