Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,140,2,Mar 30,ATL,@,PHI,W12-4,GS-1,,99,0.2,2,3,3,3,1,0,0,40.50,13.67,7,43,23,5,4,0,3,2,1,0,34,,,2,0,0,4,0,0,0,0,0,0,2.03,-0.293,2.13,-0.19%,-2.94,-5.50,-4.00,1b start a 2,1b 12- 2 out d1
2,141,7,Apr 6,ATL,,ARI,W9-8,GS-5,,6,4.1,10,8,7,1,5,1,0,18.00,5.77,25,97,66,21,5,13,6,3,0,0,17,,,0,0,0,24,1,0,0,0,0,0,.57,-0.429,.60,-0.27%,-5.64,-0.85,7.00,1t start tie,5t 1-3 1 out d5
3,142,12,Apr 12,ATL,@,MIA,W8-1,GS-7,W(1-0),5,6.1,4,1,1,1,4,0,1,8.74,4.14,24,84,49,13,10,12,6,3,1,0,64,,,0,0,0,22,0,0,0,1,0,0,.95,0.377,1.08,0.26%,2.84,20.65,38.00,1b start a 1,7b 12- 1 out a7
4,143,17,Apr 17,ATL,@,HOU,W5-4,GS-5,,4,5.0,7,3,3,4,2,1,0,7.71,5.13,24,96,52,9,8,10,8,4,1,0,39,,,0,0,0,20,1,0,0,2,0,0,1.32,-0.159,1.49,-0.11%,-0.60,2.65,12.00,1b start tie,5b 3 out d1
5,144,22,Apr 23,ATL,,MIA,W5-0,SHO,W(2-0),5,9.0,3,0,0,0,6,0,0,4.97,3.96,29,92,69,18,13,18,5,4,1,0,87,,,0,0,0,29,0,0,0,2,0,1,.60,0.372,.71,0.26%,4.60,39.45,55.00,1t start tie,9t 3 out a5
6,145,27,Apr 29,ATL,@,SEA,L1-2,GS-6,,5,6.0,0,0,0,2,7,0,0,4.02,3.55,20,100,59,12,11,9,2,0,1,0,77,,,0,0,0,18,0,0,0,0,0,0,.98,0.339,1.10,0.23%,2.67,26.30,43.00,1b start tie,6b 3 out tie
7,146,32,May 5,ATL,@,LAD,L1-5,GS-7,L(2-1),5,7.0,4,4,4,3,7,2,1,4.23,4.11,28,108,67,23,7,12,5,2,0,0,57,,,0,0,0,24,0,0,0,1,0,0,.49,-0.112,.61,-0.08%,-0.64,16.95,30.00,1b start tie,7b 3 out d3
8,147,36,May 11,ATL,@,NYM,W4-1,GS-7,W(3-1),5,7.0,0,0,0,3,5,0,0,3.57,3.94,24,109,68,18,10,5,11,3,2,0,79,,,0,0,0,21,0,0,0,0,0,0,.79,0.357,.96,0.26%,3.36,27.95,46.00,1b start tie,7b 3 out a3
9,148,41,May 17,ATL,,SDP,L1-3,GS-5,L(3-2),5,4.1,9,3,3,3,2,0,0,3.81,3.97,24,88,54,17,4,14,5,4,1,0,32,,,0,0,0,21,0,0,0,1,0,0,1.29,-0.198,1.53,-0.14%,-1.37,0.55,10.00,1t start tie,5t 12- 1 out d2
10,149,46,May 22,ATL,@,CHC,W9-2,CG,W(4-2),4,9.0,3,2,1,0,9,0,0,3.38,3.54,30,105,72,20,17,14,7,4,1,0,84,,,0,0,0,30,1,0,0,0,0,0,.64,0.237,.72,0.16%,2.41,40.95,61.00,1b start tie,9b 3 out a7
