Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,301,76,Jun 19,NYY,,BAL,L6-7,GS-5,,99,4.0,3,2,2,1,5,0,0,4.50,1.42,16,62,41,14,6,3,7,4,1,0,52,,,1,0,0,15,2,0,0,0,0,0,1.00,0.062,1.31,0.05%,0.60,12.60,21.00,1t start tie,5t 1-- 0 out tie
2,302,81,Jun 25,NYY,@,NYM,L7-9,GS-4,L(0-1),5,4.0,7,6,6,4,0,4,0,9.00,10.29,21,72,44,10,5,4,13,3,4,0,20,,,0,0,0,17,1,0,0,1,0,0,.73,-0.281,.68,-0.16%,-4.08,-9.60,-6.00,1b start tie,4b 3 out d6
3,303,86,Jun 30,NYY,@,TOR,W8-1,GS-5,W(1-1),4,5.0,3,1,1,1,6,0,2,6.23,7.32,20,90,61,14,10,5,6,2,2,0,62,,,0,0,0,17,0,0,0,1,0,0,.87,0.128,.88,0.08%,1.42,21.65,36.00,1b start a 2,5b 3 out a6
4,304,91,Jul 6,NYY,,BOS,W14-4,GS-5,,5,4.1,7,4,4,2,8,1,0,6.75,6.45,22,90,56,12,14,2,10,4,1,0,39,,,1,0,0,20,1,0,0,0,0,0,1.17,-0.252,1.41,-0.18%,-1.79,12.35,25.00,1t start tie,5t --- 1 out d1
5,305,96,Jul 12,NYY,@,BAL,W4-1,GS-6,W(2-1),5,6.0,5,1,1,1,7,0,0,5.40,5.14,24,106,75,21,13,7,9,2,3,0,64,,,1,0,0,23,0,1,0,0,0,0,1.36,0.235,2.38,0.25%,1.73,25.90,46.00,1b start tie,6b 3 out a2
6,306,99,Jul 19,NYY,,TBR,W6-1,GS-6,W(3-1),6,6.0,6,1,1,1,8,1,0,4.60,4.73,25,103,70,17,14,6,10,5,1,0,63,,,1,0,0,24,1,0,0,0,0,0,.83,0.208,1.09,0.17%,1.97,27.30,49.00,1t start tie,6t 3 out a4
7,307,104,Jul 24,NYY,,NYM,L3-12,GS-6,L(3-2),4,5.2,8,6,6,2,4,3,0,5.40,5.54,27,100,66,18,6,10,11,3,1,0,31,,,0,0,0,25,1,0,0,0,0,0,.74,-0.389,.92,-0.29%,-3.47,2.75,11.00,1t start tie,6t 12- 2 out d4
8,308,113,Aug 4,NYY,,TOR,W4-3,GS-6,,10,5.2,6,2,2,0,4,0,1,5.09,5.08,23,91,60,17,4,4,14,7,0,0,53,,,2,1,0,22,3,0,0,0,0,0,.91,0.027,1.14,0.02%,0.86,12.55,23.00,1t start tie,6t --- 2 out d2
9,309,118,Aug 10(2),NYY,,TEX,L4-9,GS-6,,5,5.1,6,1,1,2,10,0,0,4.70,4.56,23,90,63,11,24,7,4,2,1,0,60,,,1,0,0,21,0,0,0,1,0,0,1.29,0.188,1.57,0.14%,1.71,25.20,43.00,1t start tie,6t --- 1 out tie
10,310,123,Aug 16,NYY,@,DET,W3-0,GS-6,W(4-2),5,6.0,4,0,0,2,8,0,0,4.15,4.20,23,95,61,17,12,5,8,4,1,0,70,,,1,1,0,21,0,0,0,0,0,0,1.31,0.367,1.60,0.27%,2.93,29.90,52.00,1b start a 1,6b 3 out a2
11,311,128,Aug 22,NYY,,CLE,W6-0,GS-6,W(5-2),5,6.0,1,0,0,5,2,0,0,3.72,4.29,23,95,55,16,5,8,8,2,4,0,67,,,2,0,0,18,0,0,0,1,0,0,.92,0.302,1.32,0.26%,2.97,17.90,34.00,1t start tie,6t 3 out a5
12,312,133,Aug 27,NYY,@,WSN,L2-4,GS-5,L(5-3),4,5.0,6,3,3,1,7,2,0,3.86,4.44,23,91,56,14,10,7,8,4,0,0,49,,,2,0,0,22,2,0,0,0,0,1,.75,-0.110,.86,-0.08%,-0.57,15.05,27.00,1b start tie,5b 3 out d3
13,313,138,Sep 2,NYY,@,TEX,W8-4,GS-6,W(6-3),5,6.0,4,1,1,1,9,0,0,3.65,4.11,23,82,56,12,13,4,9,4,1,0,68,,,0,0,0,22,1,0,0,0,0,0,1.07,0.195,1.43,0.16%,1.88,30.50,52.00,1b start tie,6b 3 out a6
14,314,143,Sep 8,NYY,@,CHC,L1-2,GS-6,L(6-4),5,6.0,3,2,0,1,7,0,0,3.36,3.89,23,99,66,19,7,3,12,5,3,0,68,,,0,0,0,22,1,0,0,0,0,0,.91,0.071,1.17,0.05%,0.94,25.10,43.00,1b start tie,6b 3 out d1
15,315,149,Sep 14,NYY,,BOS,L1-7,GS-5,L(6-5),5,4.1,5,7,7,3,2,0,3,3.97,4.02,22,68,38,11,5,4,10,4,3,0,24,,,2,0,0,16,1,0,1,2,0,0,1.08,-0.386,1.16,-0.25%,-5.71,-6.85,-2.00,1t start tie,5t 1-3 1 out d6
16,316,154,Sep 20,NYY,@,OAK,W4-2,GS-9,W(7-5),5,9.0,2,1,1,1,7,0,0,3.67,3.81,29,99,66,21,13,11,10,2,2,0,85,,,1,0,0,28,0,0,0,1,0,0,1.18,0.514,.79,0.21%,3.19,34.45,55.00,1b start tie,9b 3 out tie
17,317,159,Sep 26,NYY,,BAL,W10-1,GS-7,W(8-5),5,6.2,2,0,0,1,5,0,0,3.41,3.69,23,101,64,13,7,8,9,4,0,0,74,,,0,0,0,22,0,0,0,0,0,0,.92,0.370,.32,0.08%,3.36,27.20,45.00,1t start tie,7t --- 2 out a7
