Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,89,3,Mar 30,SEA,,BOS,W4-3,GS-7,,99,7.0,4,1,1,1,8,0,0,1.29,1.31,26,91,65,12,14,7,10,4,1,0,72,,,0,0,0,25,1,0,0,0,0,0,1.08,0.276,1.04,0.16%,2.12,26.75,46.00,1t start tie,7t 3 out tie
2,90,8,Apr 5,SEA,@,MIL,L5-6,GS-6,,5,5.2,5,4,4,1,7,3,0,3.55,4.35,23,94,58,20,11,5,10,3,1,0,49,,,1,0,0,22,1,0,0,0,0,0,.63,-0.255,.54,-0.13%,-1.24,15.15,26.00,1b start tie,6b -2- 2 out d1
3,91,13,Apr 10,SEA,@,TOR,W6-1,GS-8,,4,7.2,5,1,1,1,8,1,0,2.66,3.90,28,89,56,15,15,6,13,5,4,0,72,,,0,0,0,27,0,0,0,1,0,0,1.11,0.253,.85,0.12%,2.45,27.65,48.00,1b start tie,8b 12- 2 out tie
4,92,18,Apr 16,SEA,,CIN,W3-1,GS-7,W(1-0),5,6.2,3,1,1,1,6,0,0,2.33,3.39,23,90,60,19,7,9,7,3,0,0,69,,,1,1,0,22,0,0,0,0,0,0,1.14,0.226,.87,0.10%,1.91,26.60,45.00,1t start tie,7t 1-- 2 out a2
5,93,23,Apr 23,SEA,@,TEX,W4-0,GS-7,W(2-0),6,6.2,2,0,0,4,6,0,0,1.87,3.34,26,100,59,16,9,6,10,4,3,0,72,,,0,0,0,22,2,0,0,0,0,0,.73,0.247,.79,0.16%,2.87,27.40,48.00,1b start a 2,7b 1-3 2 out a4
6,94,28,Apr 28,SEA,,ARI,L2-3,GS-7,,4,6.1,4,2,2,1,9,1,0,2.03,3.27,24,97,66,17,14,4,10,5,0,0,65,,,0,0,0,23,3,0,0,0,0,0,1.00,-0.012,1.08,-0.01%,0.48,25.25,44.00,1t start tie,7t -2- 1 out tie
7,95,33,May 4,SEA,@,HOU,W5-0,GS-8,W(3-0),5,8.0,2,0,0,4,6,0,0,1.69,3.25,27,96,60,11,13,9,8,1,1,0,80,,,0,0,0,23,0,0,0,3,0,0,.68,0.324,.73,0.21%,3.84,30.40,52.00,1b start tie,8b 3 out a5
8,96,38,May 9,SEA,@,MIN,L1-11,GS-4,L(3-1),4,4.0,9,8,8,2,4,1,0,2.94,3.45,22,91,59,12,18,6,10,5,1,0,14,,,1,0,0,19,1,0,0,1,1,0,.68,-0.394,.74,-0.26%,-5.99,-5.60,0.00,1b start tie,4b 3 out d7
9,97,43,May 14,SEA,,KCR,L2-4,GS-7,L(3-2),4,6.2,4,3,3,3,7,1,0,3.07,3.56,24,99,62,11,15,6,8,4,3,0,58,,,0,0,0,21,0,0,1,2,0,0,1.34,-0.175,1.54,-0.12%,0.02,18.80,36.00,1t start tie,7t --- 2 out d2
10,98,48,May 20,SEA,@,NYY,W5-4,GS-6,,5,6.0,8,3,3,1,1,0,1,3.20,3.58,27,81,53,14,5,14,10,8,0,0,44,,,0,0,0,25,2,0,0,2,0,1,.76,-0.087,.81,-0.06%,-0.03,3.50,16.00,1b start tie,6b 3 out d3
11,99,53,May 25,SEA,@,WSN,L1-3,GS-6,,4,6.0,3,1,1,0,4,0,0,3.06,3.43,21,78,52,9,10,10,7,3,1,0,66,,,1,0,0,20,1,0,0,0,1,0,1.00,0.211,.93,0.12%,1.91,17.70,31.00,1b start tie,6b 3 out tie
12,100,58,May 30,SEA,,HOU,L0-4,GS-6,L(3-3),4,6.0,8,4,4,1,5,2,0,3.29,3.66,26,100,67,18,11,7,13,7,0,0,44,,,0,1,0,25,1,1,0,0,0,0,.74,-0.168,.85,-0.12%,-1.33,10.10,21.00,1t start tie,6t 3 out d4
13,101,63,Jun 5,SEA,@,OAK,L1-2,GS-7,L(3-4),5,7.0,5,2,1,0,5,1,0,3.12,3.66,25,90,58,13,12,7,13,5,1,0,66,,,1,0,0,25,1,0,0,1,0,0,.70,0.032,.75,0.02%,1.26,20.75,37.00,1b start tie,7b 3 out d2
14,102,68,Jun 10,SEA,,CHW,W8-4,GS-7,,4,6.2,6,3,3,0,8,1,0,3.19,3.59,26,95,67,16,19,7,11,4,1,0,58,,,1,0,0,26,2,0,0,0,0,0,.91,-0.071,.92,-0.04%,-0.22,21.40,39.00,1t start tie,7t --3 2 out d3
15,103,74,Jun 16,SEA,,TEX,W5-0,GS-8,W(4-4),5,8.0,2,0,0,0,9,0,0,2.93,3.37,26,101,72,15,19,5,12,8,2,0,87,,,0,0,0,26,1,0,0,0,0,0,.77,0.432,.89,0.30%,3.56,38.80,61.00,1t start tie,8t 3 out a3
