Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,228,1,Mar 29,PHI,,ATL,L3-9,GS-6,,99,6.0,5,0,0,0,5,0,0,0.00,1.50,23,89,63,10,18,10,8,4,3,0,67,,,1,1,0,23,1,0,0,0,0,1,1.13,0.345,1.15,0.21%,3.00,20.50,37.00,1t start tie,6t 3 out a2
2,229,6,Apr 3,PHI,,CIN,L1-4,GS-6,L(0-1),4,6.0,4,3,1,1,10,0,1,0.75,1.17,25,93,64,16,16,6,7,3,1,0,65,,,0,0,0,23,3,0,0,0,0,1,.94,-0.059,.83,-0.03%,0.00,27.90,49.00,1t start tie,6t 3 out d3
3,230,11,Apr 9,PHI,@,STL,L0-3,GS-7,L(0-2),5,7.0,6,3,3,1,5,1,0,1.89,2.22,28,107,73,16,13,12,10,4,2,0,57,,,0,0,0,26,1,0,0,0,1,0,.68,-0.051,.68,-0.03%,0.54,15.55,31.00,1b start tie,7b 3 out d3
4,231,16,Apr 14,PHI,,PIT,L2-9,GS-6,L(0-3),4,5.0,5,5,4,3,10,1,0,3.00,2.50,24,100,63,18,14,3,8,5,1,0,46,,,2,0,0,21,0,0,0,0,0,1,1.42,-0.375,1.47,-0.23%,-2.50,18.45,33.00,1t start tie,6t --- 0 out d3
5,232,21,Apr 20,PHI,,CHW,W9-5,GS-8,W(1-3),5,7.1,1,0,0,2,8,0,1,2.30,2.43,26,106,75,17,13,10,5,2,1,0,82,,,0,0,0,23,0,0,0,0,0,0,.59,0.261,.59,0.16%,3.48,34.10,56.00,1t start tie,8t 1-- 1 out a9
6,233,26,Apr 25,PHI,@,CIN,W5-0,GS-6,W(2-3),4,6.0,1,0,0,4,8,0,0,1.93,2.44,22,103,62,18,13,6,4,1,2,0,74,,,0,0,0,18,0,0,0,1,0,0,.85,0.255,.96,0.17%,3.22,30.50,52.00,1b start tie,6b 3 out a5
7,234,32,May 1,PHI,@,LAA,W2-1,GS-5,W(3-3),5,5.0,5,1,1,1,6,1,0,1.91,2.62,22,106,67,16,11,5,10,5,2,0,58,,,0,0,0,21,2,0,0,0,0,0,1.20,0.197,1.38,0.14%,1.47,21.65,36.00,1b start tie,5b 3 out a1
8,235,36,May 6,PHI,,SFG,W6-1,GS-7,W(4-3),4,7.0,4,1,0,1,11,0,0,1.64,2.31,26,102,66,22,18,3,11,6,0,0,77,,,0,0,0,24,1,0,0,1,1,1,.84,0.310,.99,0.22%,2.50,38.75,64.00,1t start tie,7t 3 out a4
9,236,41,May 12,PHI,@,MIA,L6-7,GS-4,,5,4.0,6,6,6,3,2,1,1,2.53,2.77,21,80,49,7,5,8,7,3,0,0,25,,,0,0,0,16,2,1,0,1,0,0,1.16,-0.416,1.22,-0.26%,-3.83,-5.00,0.00,1b start a 3,4b 3 out d3
10,237,46,May 17,PHI,,WSN,W4-2,GS-8,W(5-3),4,7.1,3,2,2,3,6,0,0,2.52,2.77,27,104,68,12,16,4,14,5,2,0,67,,,0,0,0,24,3,0,0,0,0,0,.86,0.239,.99,0.16%,1.74,24.90,44.00,1t start tie,8t --- 1 out a2
